"Side","Deck","Num","GID","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","IID","Spending","HasSpent","GroupSize","GroupNumCabinsNA","GroupNumCabins","GroupNumTransported","GroupNumNotTransported","GroupTransportedPct","GroupNumInCabinMode","GroupNumHomePlanets","GroupNumDestinations","GroupHomePlanetMode","GroupDestinationMode","CabinSize","CabinNumTransported","CabinNumNotTransported","CabinTransportedPct","CabinNumCryo","SideNeighbors","SideNeighborsTransported","SideNeighborsTransportedPct","FrontNeighbors","FrontNeighborsTransported","FrontNeighborsTransportedPct","BackNeighbors","BackNeighborsTransported","BackNeighborsTransportedPct","DiagFrontNeighbors","DiagFrontNeighborsTransported","DiagFrontNeighborsTransportedPct","DiagBackNeighbors","DiagBackNeighborsTransported","DiagBackNeighborsTransportedPct","Cabin","PassengerId","Name","Transported","Train","LastName","GroupCabinMode"
"P","A",0,119,"Europa","FALSE","TRAPPIST-1e",39,"FALSE",0,2344,0,65,6898,1,9307,TRUE,2,0,1,1,1,0.5,2,1,1,"Europa","TRAPPIST-1e",2,1,1,0.5,1,2,0,0,0,0,0.0854547619047619,0,0,0,3,3,1,0,0,0,"A/0/P","0119_01","Batan Coning","FALSE","TRUE","Coning","A/0/P"
"P","A",0,119,"Europa","TRUE","TRAPPIST-1e",13,"FALSE",0,0,0,0,0,2,0,FALSE,2,0,1,1,1,0.5,2,1,1,"Europa","TRAPPIST-1e",2,1,1,0.5,1,2,0,0,0,0,0.0802857142857142,0,0,0,3,3,1,0,0,0,"A/0/P","0119_02","Kleeiak Coning","TRUE","TRUE","Coning","A/0/P"
"S","A",0,3,"Europa","FALSE","TRAPPIST-1e",33,"FALSE",0,1283,371,3329,193,2,5176,TRUE,2,0,1,0,2,0,2,1,1,"Europa","TRAPPIST-1e",2,0,2,0,0,2,1,0.5,3,3,1,0,0,0,0,0,0.0839833333333333,0,0,0,"A/0/S","0003_02","Solam Susent","FALSE","TRUE","Susent","A/0/S"
"S","A",0,3,"Europa","FALSE","TRAPPIST-1e",58,"TRUE",43,3576,0,6715,49,1,10383,TRUE,2,0,1,0,2,0,2,1,1,"Europa","TRAPPIST-1e",2,0,2,0,0,2,1,0.5,3,3,1,0,0,0,0,0,0.0852666666666667,0,0,0,"A/0/S","0003_01","Altark Susent","FALSE","TRUE","Susent","A/0/S"
"P","A",1,157,"Europa","FALSE","TRAPPIST-1e",35,"FALSE",0,463,0,1502,585,1,2550,TRUE,1,0,1,0,0,0.41707857142857,1,1,1,"Europa","TRAPPIST-1e",1,0,0,0.429588095238095,0,3,3,1,1,1,1,2,1,0.5,1,0,0,2,0,0,"A/1/P","0157_01","Dabit Fulazy",NA,"FALSE","Fulazy","A/1/P"
"S","A",1,56,"Europa","FALSE","TRAPPIST-1e",2,"FALSE",0,0,0,0,0,1,0,FALSE,3,0,1,3,0,1,3,1,1,"Europa","TRAPPIST-1e",3,3,0,1,1,0,0,0.0616333333333315,1,0,0,2,0,0,1,1,1,2,1,0.5,"A/1/S","0056_01","Okulas Tractive","TRUE","TRUE","Tractive","A/1/S"
"S","A",1,56,"Europa","TRUE","TRAPPIST-1e",38,"FALSE",0,0,0,0,0,2,0,FALSE,3,0,1,3,0,1,3,1,1,"Europa","TRAPPIST-1e",3,3,0,1,1,0,0,0.0515333333333315,1,0,0,2,0,0,1,1,1,2,1,0.5,"A/1/S","0056_02","Instab Tractive","TRUE","TRUE","Tractive","A/1/S"
"S","A",1,56,"Europa","FALSE","TRAPPIST-1e",27,"FALSE",279,605,3374,286,3,3,4547,TRUE,3,0,1,3,0,1,3,1,1,"Europa","TRAPPIST-1e",3,3,0,1,1,0,0,0.0719333333333319,1,0,0,2,0,0,1,1,1,2,1,0.5,"A/1/S","0056_03","Zinoces Tractive","TRUE","TRUE","Tractive","A/1/S"
"P","A",10,1258,"Europa","FALSE","55 Cancri e",30,"FALSE",0,3628,289,1737,4987,1,10641,TRUE,1,0,1,0,1,0,1,1,1,"Europa","55 Cancri e",1,0,1,0,0,1,1,1,0,0,0.0484277777777777,2,0,0,1,1,1,1,1,1,"A/10/P","1258_01","Tauva Cowsearney","FALSE","TRUE","Cowsearney","A/10/P"
"S","A",10,871,"Europa","FALSE","TRAPPIST-1e",20,"FALSE",2,4754,0,246,31,1,5033,TRUE,1,0,1,1,0,1,1,1,1,"Europa","TRAPPIST-1e",1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0.0354166666666667,2,0,0,"A/10/S","0871_01","Polar Geneltic","TRUE","TRUE","Geneltic","A/10/S"
"S","A",100,8307,"Europa","TRUE","TRAPPIST-1e",34,"FALSE",0,0,0,0,0,2,0,FALSE,2,0,1,2,0,1,2,1,2,"Europa","55 Cancri e",2,2,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,"A/100/S","8307_02","Sabiton Unkcal","TRUE","TRUE","Unkcal","A/100/S"
"S","A",100,8307,"Europa","FALSE","55 Cancri e",27,"TRUE",0,1337,1929,0,0,1,3266,TRUE,2,0,1,2,0,1,2,1,2,"Europa","55 Cancri e",2,2,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,"A/100/S","8307_01","Porrimp Unkcal","TRUE","TRUE","Unkcal","A/100/S"
"S","A",101,8363,"Europa","FALSE","55 Cancri e",25,"FALSE",0,1673,0,642,612,1,2927,TRUE,2,0,1,0,2,0,2,1,2,"Europa","55 Cancri e",2,0,2,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,"A/101/S","8363_01","Shail Crelaxle","FALSE","TRUE","Crelaxle","A/101/S"
"S","A",101,8363,"Europa","FALSE","TRAPPIST-1e",26,"FALSE",0,690,1,1030,2273,2,3994,TRUE,2,0,1,0,2,0,2,1,2,"Europa","55 Cancri e",2,0,2,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,"A/101/S","8363_02","Dira Crelaxle","FALSE","TRUE","Crelaxle","A/101/S"
"S","A",102,8521,"Europa","FALSE","TRAPPIST-1e",41,"FALSE",0,0,0,0,0,1,0,FALSE,1,0,1,0,1,0,1,1,1,"Europa","TRAPPIST-1e",1,0,1,0,0,0,0,0,3,1,0.333333333333333,2,0,0,0,0,0,0,0,0,"A/102/S","8521_01","Castab Cuplial","FALSE","TRUE","Cuplial","A/102/S"
"S","A",103,8656,"Europa","FALSE","TRAPPIST-1e",29,"FALSE",0,4455,0,1663,4435,1,10553,TRUE,3,0,1,1,2,0.333333333333333,3,1,2,"Europa","55 Cancri e",3,1,2,0.333333333333333,1,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0,"A/103/S","8656_01","Antinon Imparmle","FALSE","TRUE","Imparmle","A/103/S"
"S","A",103,8656,"Europa","FALSE","55 Cancri e",38,"TRUE",0,1298,0,1841,1547,2,4686,TRUE,3,0,1,1,2,0.333333333333333,3,1,2,"Europa","55 Cancri e",3,1,2,0.333333333333333,1,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0,"A/103/S","8656_02","Almino Rotter","FALSE","TRUE","Rotter","A/103/S"
"S","A",103,8656,"Europa","TRUE","55 Cancri e",29,"TRUE",0,0,0,0,0,3,0,FALSE,3,0,1,1,2,0.333333333333333,3,1,2,"Europa","55 Cancri e",3,1,2,0.333333333333333,1,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0,"A/103/S","8656_03","Eltares Imparmle","TRUE","TRUE","Imparmle","A/103/S"
"S","A",104,8719,"Europa","FALSE","55 Cancri e",20,"FALSE",0,0,0,0,0,3,0,FALSE,3,0,1,1,2,0.333333333333333,3,1,2,"Europa","55 Cancri e",3,1,2,0.333333333333333,0,0,0,0,0,0,0.0554166666666666,3,1,0.333333333333333,0,0,0,0,0,0,"A/104/S","8719_03","Edaron Invebodene","TRUE","TRUE","Invebodene","A/104/S"
"S","A",104,8719,"Europa","FALSE","55 Cancri e",54,"FALSE",0,1821,2370,949,46,2,5186,TRUE,3,0,1,1,2,0.333333333333333,3,1,2,"Europa","55 Cancri e",3,1,2,0.333333333333333,0,0,0,0,0,0,0.0686666666666666,3,1,0.333333333333333,0,0,0,0,0,0,"A/104/S","8719_02","Astrak Alcemblery","FALSE","TRUE","Alcemblery","A/104/S"
"S","A",104,8719,"Europa","FALSE","TRAPPIST-1e",33,"TRUE",0,3076,0,3,994,1,4073,TRUE,3,0,1,1,2,0.333333333333333,3,1,2,"Europa","55 Cancri e",3,1,2,0.333333333333333,0,0,0,0,0,0,0.0543333333333332,3,1,0.333333333333333,0,0,0,0,0,0,"A/104/S","8719_01","Naslon Invebodene","FALSE","TRUE","Invebodene","A/104/S"
"S","A",105,8839,"Europa","FALSE","55 Cancri e",45,"FALSE",17,2914,0,4,1813,2,4748,TRUE,2,0,1,0,0,0.405297619047618,2,1,2,"Europa","55 Cancri e",2,0,0,0.427083333333333,0,0,0,0,1,1,1,3,1,0.333333333333333,0,0,0,0,0,0,"A/105/S","8839_02","Sulaton Pinoffent",NA,"FALSE","Pinoffent","A/105/S"
"S","A",105,8839,"Europa","FALSE","TRAPPIST-1e",65,"FALSE",0,2462,0,15,176,1,2653,TRUE,2,0,1,0,0,0.410805952380951,2,1,2,"Europa","55 Cancri e",2,0,0,0.432616666666667,0,0,0,0,1,1,1,3,1,0.333333333333333,0,0,0,0,0,0,"A/105/S","8839_01","Askera Pinoffent",NA,"FALSE","Pinoffent","A/105/S"
"S","A",106,9038,"Europa","TRUE","55 Cancri e",28,"FALSE",0,0,0,0,0,1,0,FALSE,1,0,1,1,0,1,1,1,1,"Europa","55 Cancri e",1,1,0,1,1,0,0,0,1,0,0,0,0,0.0491438679245268,0,0,0,0,0,0,"A/106/S","9038_01","Betenar Listive","TRUE","TRUE","Listive","A/106/S"
"S","A",107,9073,"Europa","FALSE","TRAPPIST-1e",13,"FALSE",24,838,1069,1376,181,1,3488,TRUE,2,0,2,1,1,0.5,1,1,2,"Europa","55 Cancri e",1,0,1,0,0,0,0,0,0,0,0.0473749999999999,1,1,1,0,0,0,0,0,0,"A/107/S","9073_01","Marazha Shricatory","FALSE","TRUE","Shricatory","A/107/S"
"S","A",108,9093,"Europa","FALSE","TRAPPIST-1e",48,"FALSE",0,658,0,6812,0,1,7470,TRUE,1,0,1,0,0,0.45090119047619,1,1,1,"Europa","TRAPPIST-1e",1,0,0,0.434526190476191,0,0,0,0,0,0,0.0514999999999999,1,0,0,0,0,0,0,0,0,"A/108/S","9093_01","Minchib Clugete",NA,"FALSE","Clugete","A/108/S"
"S","A",109,9166,"Europa","TRUE","55 Cancri e",62,"FALSE",0,0,0,0,0,1,0,FALSE,1,0,1,0,0,0.416914285714285,1,1,1,"Europa","55 Cancri e",1,0,0,0.442188095238096,1,0,0,0,0,0,0,0,0,0.0379999999999985,0,0,0,0,0,0,"A/109/S","9166_01","Askeid Monsintic",NA,"FALSE","Monsintic","A/109/S"
"P","A",11,1319,"Europa","FALSE","TRAPPIST-1e",42,"FALSE",13,2983,0,0,3311,1,6307,TRUE,2,0,1,0,0,0.454465476190475,2,1,1,"Europa","TRAPPIST-1e",2,0,0,0.41855,0,1,1,1,0,0,0.043442857142857,1,0,0,0,0,0.0485952380952381,1,1,1,"A/11/P","1319_01","Polar Couseced",NA,"FALSE","Couseced","A/11/P"
"P","A",11,1319,"Europa","FALSE","TRAPPIST-1e",33,"FALSE",0,139,1,1707,341,2,2188,TRUE,2,0,1,0,0,0.430433333333333,2,1,1,"Europa","TRAPPIST-1e",2,0,0,0.447625,0,1,1,1,0,0,0.0372666666666664,1,0,0,0,0,0.0333095238095238,1,1,1,"A/11/P","1319_02","Geonon Couseced",NA,"FALSE","Couseced","A/11/P"
"S","A",11,1004,"Europa","TRUE","55 Cancri e",56,"FALSE",0,0,0,0,0,1,0,FALSE,1,0,1,1,0,1,1,1,1,"Europa","55 Cancri e",1,1,0,1,1,0,0,0.0359999999999979,0,0,0.0375714285714284,1,1,1,0,0,0.0281547619047619,1,0,0,"A/11/S","1004_01","Aldun Wassird","TRUE","TRUE","Wassird","A/11/S"
"P","A",12,1343,"Europa","FALSE","TRAPPIST-1e",33,"FALSE",3,977,0,1908,7557,1,10445,TRUE,3,0,1,0,0,0.452971428571428,3,1,2,"Europa","55 Cancri e",3,0,0,0.42450119047619,0,0,0,0.0621666666666648,2,0,0,0,0,0.0474404761904748,0,0,0.0533333333333333,1,1,1,"A/12/P","1343_01","Kabiak Daterle",NA,"FALSE","Daterle","A/12/P"
"P","A",12,1343,"Europa","FALSE","55 Cancri e",27,"FALSE",2201,461,0,251,159,3,3072,TRUE,3,0,1,0,0,0.409625396825396,3,1,2,"Europa","55 Cancri e",3,0,0,0.437302380952381,0,0,0,0.0529761904761885,2,0,0,0,0,0.0463166666666652,0,0,0.053725,1,1,1,"A/12/P","1343_03","Winon Daterle",NA,"FALSE","Daterle","A/12/P"
"P","A",12,1343,"Europa","FALSE","55 Cancri e",47,"FALSE",0,4192,888,901,2,2,5983,TRUE,3,0,1,0,0,0.420968253968253,3,1,2,"Europa","55 Cancri e",3,0,0,0.450257142857143,0,0,0,0.0583749999999981,2,0,0,0,0,0.0403833333333319,0,0,0.0657916666666667,1,1,1,"A/12/P","1343_02","Furudah Daterle",NA,"FALSE","Daterle","A/12/P"
"S","A",12,1016,"Europa","FALSE","55 Cancri e",32,"FALSE",0,2983,0,6282,74,1,9339,TRUE,1,0,1,0,0,0.397646428571427,1,1,1,"Europa","55 Cancri e",1,0,0,0.43175,0,0,0,0.0423714285714267,0,0,0.0471333333333332,1,1,1,2,0,0,0,0,0.046238095238095,"A/12/S","1016_01","Grafi Presectle",NA,"FALSE","Presectle","A/12/S"
"P","A",13,1860,"Europa","FALSE","TRAPPIST-1e",35,"TRUE",0,1,0,0,3156,1,3157,TRUE,2,0,1,0,2,0,2,1,2,"Europa","55 Cancri e",2,0,2,0,0,0,0,0.0654333333333316,2,2,1,0,0,0.0605624999999986,3,2,0.666666666666667,0,0,0.0677833333333332,"A/13/P","1860_01","Caiah Headfair","FALSE","TRUE","Headfair","A/13/P"
"P","A",13,1860,"Europa","FALSE","55 Cancri e",35,"FALSE",95,3441,0,391,318,2,4245,TRUE,2,0,1,0,2,0,2,1,2,"Europa","55 Cancri e",2,0,2,0,0,0,0,0.0526166666666649,2,2,1,0,0,0.0520148809523796,3,2,0.666666666666667,0,0,0.0625666666666665,"A/13/P","1860_02","Krazet Headfair","FALSE","TRUE","Headfair","A/13/P"
"S","A",13,1137,"Europa","FALSE","55 Cancri e",28,"TRUE",0,109,0,1514,942,2,2565,TRUE,2,0,2,0,0,0.419937698412698,1,1,2,"Europa","55 Cancri e",1,0,0,0.446966666666667,0,2,0,0,3,2,0.666666666666667,0,0,0.0579999999999986,2,2,1,0,0,0.0632476190476189,"A/13/S","1137_02","Majora Unings",NA,"FALSE","Unings","A/13/S"
