"Age","CabinNumCryo","CabinSize","CryoSleep","Deck","Destination","FoodCourt","GID","GroupSize","HasSpent","HomePlanet","IID","Num","RoomService","ShoppingMall","Side","Spa","Spending","VIP","VRDeck","Transported","Cabin","PassengerId","Name","Train","LastName","GroupTrain","GroupNumCabinsNA","GroupNumCabins","GroupNumTransported","GroupNumNotTransported","GroupCabinMode","GroupNumInCabinMode","GroupNumHomePlanets","GroupNumDestinations","GroupHomePlanetMode","GroupDestinationMode","CabinNumNATransported","CabinNumTransported","CabinNumNotTransported","CabinTransportedPct","SideNeighbors","SideNeighborsTransported","SideNeighborsTransportedPct","FrontNeighbors","FrontNeighborsTransported","FrontNeighborsTransportedPct","BackNeighbors","BackNeighborsTransported","BackNeighborsTransportedPct","DiagFrontNeighbors","DiagFrontNeighborsTransported","DiagFrontNeighborsTransportedPct","DiagBackNeighbors","DiagBackNeighborsTransported","DiagBackNeighborsTransportedPct"
39,1,2,"FALSE","A","TRAPPIST-1e",2344,119,2,TRUE,"Europa",1,0,0,0,"P",65,9307,"FALSE",6898,"FALSE","A/0/P","0119_01","Batan Coning","TRUE","Coning","TRUE",0,1,1,1,"A/0/P",2,1,1,"Europa","TRAPPIST-1e",0,1,1,0.5,2,0,0,0,0,NA,0,0,0,3,3,1,0,0,0
13,1,2,"TRUE","A","TRAPPIST-1e",0,119,2,FALSE,"Europa",2,0,0,0,"P",0,0,"FALSE",0,"TRUE","A/0/P","0119_02","Kleeiak Coning","TRUE","Coning","TRUE",0,1,1,1,"A/0/P",2,1,1,"Europa","TRAPPIST-1e",0,1,1,0.5,2,0,0,0,0,NA,0,0,0,3,3,1,0,0,0
33,0,2,"FALSE","A","TRAPPIST-1e",1283,3,2,TRUE,"Europa",2,0,0,371,"S",3329,5176,"FALSE",193,"FALSE","A/0/S","0003_02","Solam Susent","TRUE","Susent","TRUE",0,1,0,2,"A/0/S",2,1,1,"Europa","TRAPPIST-1e",0,0,2,0,2,1,0.5,3,3,1,0,0,0,0,0,NA,0,0,0
58,0,2,"FALSE","A","TRAPPIST-1e",3576,3,2,TRUE,"Europa",1,0,43,0,"S",6715,10383,"TRUE",49,"FALSE","A/0/S","0003_01","Altark Susent","TRUE","Susent","TRUE",0,1,0,2,"A/0/S",2,1,1,"Europa","TRAPPIST-1e",0,0,2,0,2,1,0.5,3,3,1,0,0,0,0,0,NA,0,0,0
35,0,1,"FALSE","A","TRAPPIST-1e",463,157,1,TRUE,"Europa",1,1,0,0,"P",1502,2550,"FALSE",585,"FALSE","A/1/P","0157_01","Dabit Fulazy","FALSE","Fulazy","FALSE",0,1,0,0,"A/1/P",1,1,1,"Europa","TRAPPIST-1e",1,0,0,NA,3,3,1,1,1,1,2,1,0.5,1,0,0,2,0,0
2,1,3,"FALSE","A","TRAPPIST-1e",0,56,3,FALSE,"Europa",1,1,0,0,"S",0,0,"FALSE",0,"TRUE","A/1/S","0056_01","Okulas Tractive","TRUE","Tractive","TRUE",0,1,3,0,"A/1/S",3,1,1,"Europa","TRAPPIST-1e",0,3,0,1,0,0,NA,1,0,0,2,0,0,1,1,1,2,1,0.5
38,1,3,"TRUE","A","TRAPPIST-1e",0,56,3,FALSE,"Europa",2,1,0,0,"S",0,0,"FALSE",0,"TRUE","A/1/S","0056_02","Instab Tractive","TRUE","Tractive","TRUE",0,1,3,0,"A/1/S",3,1,1,"Europa","TRAPPIST-1e",0,3,0,1,0,0,NA,1,0,0,2,0,0,1,1,1,2,1,0.5
27,1,3,"FALSE","A","TRAPPIST-1e",605,56,3,TRUE,"Europa",3,1,279,3374,"S",286,4547,"FALSE",3,"TRUE","A/1/S","0056_03","Zinoces Tractive","TRUE","Tractive","TRUE",0,1,3,0,"A/1/S",3,1,1,"Europa","TRAPPIST-1e",0,3,0,1,0,0,NA,1,0,0,2,0,0,1,1,1,2,1,0.5
30,0,1,"FALSE","A","55 Cancri e",3628,1258,1,TRUE,"Europa",1,10,0,289,"P",1737,10641,"FALSE",4987,"FALSE","A/10/P","1258_01","Tauva Cowsearney","TRUE","Cowsearney","TRUE",0,1,0,1,"A/10/P",1,1,1,"Europa","55 Cancri e",0,0,1,0,1,1,1,0,0,NA,2,0,0,1,1,1,1,1,1
20,0,1,"FALSE","A","TRAPPIST-1e",4754,871,1,TRUE,"Europa",1,10,2,0,"S",246,5033,"FALSE",31,"TRUE","A/10/S","0871_01","Polar Geneltic","TRUE","Geneltic","TRUE",0,1,1,0,"A/10/S",1,1,1,"Europa","TRAPPIST-1e",0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,NA,2,0,0
