"Age","CabinNumCryo","CabinSize","CryoSleep","Deck","Destination","FoodCourt","GID","GroupSize","HasSpent","HomePlanet","IID","Num","RoomService","ShoppingMall","Side","Spa","Spending","VIP","VRDeck","Cabin","PassengerId","Name","Transported","Train","LastName","GroupTrain","GroupNumCabinsNA","GroupNumCabins","GroupNumTransported","GroupNumNotTransported","GroupCabinMode","GroupNumInCabinMode","GroupNumHomePlanets","GroupNumDestinations","GroupHomePlanetMode","GroupDestinationMode","CabinNumNATransported","CabinNumTransported","CabinNumNotTransported","CabinTransportedPct","SideNeighbors","SideNeighborsTransported","SideNeighborsTransportedPct","FrontNeighbors","FrontNeighborsTransported","FrontNeighborsTransportedPct","BackNeighbors","BackNeighborsTransported","BackNeighborsTransportedPct","DiagFrontNeighbors","DiagFrontNeighborsTransported","DiagFrontNeighborsTransportedPct","DiagBackNeighbors","DiagBackNeighborsTransported","DiagBackNeighborsTransportedPct"
39,1,2,"FALSE","A","TRAPPIST-1e",2344,119,2,TRUE,"Europa",1,0,0,0,"P",65,9307,"FALSE",6898,"A/0/P","0119_01","Batan Coning","FALSE","TRUE","Coning","TRUE",0,1,1,1,"A/0/P",2,1,1,"Europa","TRAPPIST-1e",0,1,1,0.5,2,0,0,0,0,NA,0,0,0,3,3,1,0,0,0
13,1,2,"TRUE","A","TRAPPIST-1e",0,119,2,FALSE,"Europa",2,0,0,0,"P",0,0,"FALSE",0,"A/0/P","0119_02","Kleeiak Coning","TRUE","TRUE","Coning","TRUE",0,1,1,1,"A/0/P",2,1,1,"Europa","TRAPPIST-1e",0,1,1,0.5,2,0,0,0,0,NA,0,0,0,3,3,1,0,0,0
33,0,2,"FALSE","A","TRAPPIST-1e",1283,3,2,TRUE,"Europa",2,0,0,371,"S",3329,5176,"FALSE",193,"A/0/S","0003_02","Solam Susent","FALSE","TRUE","Susent","TRUE",0,1,0,2,"A/0/S",2,1,1,"Europa","TRAPPIST-1e",0,0,2,0,2,1,0.5,3,3,1,0,0,0,0,0,NA,0,0,0
58,0,2,"FALSE","A","TRAPPIST-1e",3576,3,2,TRUE,"Europa",1,0,43,0,"S",6715,10383,"TRUE",49,"A/0/S","0003_01","Altark Susent","FALSE","TRUE","Susent","TRUE",0,1,0,2,"A/0/S",2,1,1,"Europa","TRAPPIST-1e",0,0,2,0,2,1,0.5,3,3,1,0,0,0,0,0,NA,0,0,0
35,0,1,"FALSE","A","TRAPPIST-1e",463,157,1,TRUE,"Europa",1,1,0,0,"P",1502,2550,"FALSE",585,"A/1/P","0157_01","Dabit Fulazy",NA,"FALSE","Fulazy","FALSE",0,1,0,0,"A/1/P",1,1,1,"Europa","TRAPPIST-1e",1,0,0,NA,3,3,1,1,1,1,2,1,0.5,1,0,0,2,0,0
2,1,3,"FALSE","A","TRAPPIST-1e",0,56,3,FALSE,"Europa",1,1,0,0,"S",0,0,"FALSE",0,"A/1/S","0056_01","Okulas Tractive","TRUE","TRUE","Tractive","TRUE",0,1,3,0,"A/1/S",3,1,1,"Europa","TRAPPIST-1e",0,3,0,1,0,0,NA,1,0,0,2,0,0,1,1,1,2,1,0.5
38,1,3,"TRUE","A","TRAPPIST-1e",0,56,3,FALSE,"Europa",2,1,0,0,"S",0,0,"FALSE",0,"A/1/S","0056_02","Instab Tractive","TRUE","TRUE","Tractive","TRUE",0,1,3,0,"A/1/S",3,1,1,"Europa","TRAPPIST-1e",0,3,0,1,0,0,NA,1,0,0,2,0,0,1,1,1,2,1,0.5
27,1,3,"FALSE","A","TRAPPIST-1e",605,56,3,TRUE,"Europa",3,1,279,3374,"S",286,4547,"FALSE",3,"A/1/S","0056_03","Zinoces Tractive","TRUE","TRUE","Tractive","TRUE",0,1,3,0,"A/1/S",3,1,1,"Europa","TRAPPIST-1e",0,3,0,1,0,0,NA,1,0,0,2,0,0,1,1,1,2,1,0.5
30,0,1,"FALSE","A","55 Cancri e",3628,1258,1,TRUE,"Europa",1,10,0,289,"P",1737,10641,"FALSE",4987,"A/10/P","1258_01","Tauva Cowsearney","FALSE","TRUE","Cowsearney","TRUE",0,1,0,1,"A/10/P",1,1,1,"Europa","55 Cancri e",0,0,1,0,1,1,1,0,0,NA,2,0,0,1,1,1,1,1,1
20,0,1,"FALSE","A","TRAPPIST-1e",4754,871,1,TRUE,"Europa",1,10,2,0,"S",246,5033,"FALSE",31,"A/10/S","0871_01","Polar Geneltic","TRUE","TRUE","Geneltic","TRUE",0,1,1,0,"A/10/S",1,1,1,"Europa","TRAPPIST-1e",0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,NA,2,0,0
34,1,2,"TRUE","A","TRAPPIST-1e",0,8307,2,FALSE,"Europa",2,100,0,0,"S",0,0,"FALSE",0,"A/100/S","8307_02","Sabiton Unkcal","TRUE","TRUE","Unkcal","TRUE",0,1,2,0,"A/100/S",2,1,2,"Europa","55 Cancri e",0,2,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
27,1,2,"FALSE","A","55 Cancri e",1337,8307,2,TRUE,"Europa",1,100,0,1929,"S",0,3266,"TRUE",0,"A/100/S","8307_01","Porrimp Unkcal","TRUE","TRUE","Unkcal","TRUE",0,1,2,0,"A/100/S",2,1,2,"Europa","55 Cancri e",0,2,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
25,0,2,"FALSE","A","55 Cancri e",1673,8363,2,TRUE,"Europa",1,101,0,0,"S",642,2927,"FALSE",612,"A/101/S","8363_01","Shail Crelaxle","FALSE","TRUE","Crelaxle","TRUE",0,1,0,2,"A/101/S",2,1,2,"Europa","55 Cancri e",0,0,2,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0
26,0,2,"FALSE","A","TRAPPIST-1e",690,8363,2,TRUE,"Europa",2,101,0,1,"S",1030,3994,"FALSE",2273,"A/101/S","8363_02","Dira Crelaxle","FALSE","TRUE","Crelaxle","TRUE",0,1,0,2,"A/101/S",2,1,2,"Europa","55 Cancri e",0,0,2,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0
41,0,1,"FALSE","A","TRAPPIST-1e",0,8521,1,FALSE,"Europa",1,102,0,0,"S",0,0,"FALSE",0,"A/102/S","8521_01","Castab Cuplial","FALSE","TRUE","Cuplial","TRUE",0,1,0,1,"A/102/S",1,1,1,"Europa","TRAPPIST-1e",0,0,1,0,0,0,0,3,1,0.333333333333333,2,0,0,0,0,0,0,0,0
29,1,3,"FALSE","A","TRAPPIST-1e",4455,8656,3,TRUE,"Europa",1,103,0,0,"S",1663,10553,"FALSE",4435,"A/103/S","8656_01","Antinon Imparmle","FALSE","TRUE","Imparmle","TRUE",0,1,1,2,"A/103/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0
38,1,3,"FALSE","A","55 Cancri e",1298,8656,3,TRUE,"Europa",2,103,0,0,"S",1841,4686,"TRUE",1547,"A/103/S","8656_02","Almino Rotter","FALSE","TRUE","Rotter","TRUE",0,1,1,2,"A/103/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0
29,1,3,"TRUE","A","55 Cancri e",0,8656,3,FALSE,"Europa",3,103,0,0,"S",0,0,"TRUE",0,"A/103/S","8656_03","Eltares Imparmle","TRUE","TRUE","Imparmle","TRUE",0,1,1,2,"A/103/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,3,1,0.333333333333333,1,0,0,0,0,0,0,0,0
20,0,3,"FALSE","A","55 Cancri e",0,8719,3,FALSE,"Europa",3,104,0,0,"S",0,0,"FALSE",0,"A/104/S","8719_03","Edaron Invebodene","TRUE","TRUE","Invebodene","TRUE",0,1,1,2,"A/104/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,0,0,NA,3,1,0.333333333333333,0,0,0,0,0,0
54,0,3,"FALSE","A","55 Cancri e",1821,8719,3,TRUE,"Europa",2,104,0,2370,"S",949,5186,"FALSE",46,"A/104/S","8719_02","Astrak Alcemblery","FALSE","TRUE","Alcemblery","TRUE",0,1,1,2,"A/104/S",3,1,2,"Europa","55 Cancri e",0,1,2,0.333333333333333,0,0,0,0,0,NA,3,1,0.333333333333333,0,0,0,0,0,0
